full,consumption,unit
North Dakota,45.8,gallons
New Hampshire,43.9,gallons
Montana,41,gallons
South Dakota,38.9,gallons
Wisconsin,36.2,gallons
Nevada,35.8,gallons
Vermont,35.3,gallons
Nebraska,35.2,gallons
Texas,34.4,gallons
Maine,34,gallons
Louisiana,33.9,gallons
Mississippi,33.9,gallons
Iowa,33.6,gallons
Delaware,33.6,gallons
Wyoming,33,gallons
South Carolina,32.7,gallons
New Mexico,32.4,gallons
Missouri,31,gallons
Hawaii,30.4,gallons
Oregon,30.3,gallons
West Virginia,30.3,gallons
Alabama,30.2,gallons
Ohio,30.1,gallons
Colorado,30,gallons
Arizona,29.5,gallons
Illinois,29.1,gallons
Alaska,28.7,gallons
Pennsylvania,28.6,gallons
Minnesota,28.5,gallons
Oklahoma,28.3,gallons
Kansas,28.3,gallons
District of Columbia,28.3,gallons
Idaho,27.8,gallons
Florida,27.4,gallons
North Carolina,27.1,gallons
Michigan,26.8,gallons
Arkansas,26.7,gallons
Virginia,26.7,gallons
Rhode Island,26.3,gallons
Massachusetts,26.2,gallons
Tennessee,26.2,gallons
Indiana,25.9,gallons
Georgia,25.7,gallons
California,25.5,gallons
Washington,24.8,gallons
Kentucky,24.4,gallons
Maryland,24.2,gallons
New York,22.4,gallons
New Jersey,22.4,gallons
Connecticut,22.1,gallons
Utah,20.2,gallons
